"Kod";"Nazwa";"saldo migracji ogółem;ogółem;2022;[osoba]";
0201000;"Powiat bolesławiecki";-38;
0202000;"Powiat dzierżoniowski";-125;
0203000;"Powiat głogowski";-368;
0204000;"Powiat górowski";-120;
0205000;"Powiat jaworski";-105;
0206000;"Powiat karkonoski";-11;
0207000;"Powiat kamiennogórski";-122;
0208000;"Powiat kłodzki";-394;
0209000;"Powiat legnicki";178;
0210000;"Powiat lubański";-136;
0211000;"Powiat lubiński";-38;
0212000;"Powiat lwówecki";-22;
0213000;"Powiat milicki";-46;
0214000;"Powiat oleśnicki";343;
0215000;"Powiat oławski";111;
0216000;"Powiat polkowicki";203;
0217000;"Powiat strzeliński";-42;
0218000;"Powiat średzki";630;
0219000;"Powiat świdnicki";-161;
0220000;"Powiat trzebnicki";601;
0221000;"Powiat wałbrzyski";22;
0222000;"Powiat wołowski";-46;
0223000;"Powiat wrocławski";3432;
0224000;"Powiat ząbkowicki";-133;
0225000;"Powiat zgorzelecki";-153;
0226000;"Powiat złotoryjski";-73;
0261000;"Powiat m. Jelenia Góra";-34;
0262000;"Powiat m. Legnica";-438;
0264000;"Powiat m. Wrocław";1026;
0265000;"Powiat m. Wałbrzych od 2013";-352;
0401000;"Powiat aleksandrowski";55;
0402000;"Powiat brodnicki";25;
0403000;"Powiat bydgoski";1687;
0404000;"Powiat chełmiński";-144;
0405000;"Powiat golubsko-dobrzyński";-95;
0406000;"Powiat grudziądzki";-2;
0407000;"Powiat inowrocławski";-321;
0408000;"Powiat lipnowski";-127;
0409000;"Powiat mogileński";-43;
0410000;"Powiat nakielski";-60;
0411000;"Powiat radziejowski";-191;
0412000;"Powiat rypiński";-76;
0413000;"Powiat sępoleński";-134;
0414000;"Powiat świecki";-184;
0415000;"Powiat toruński";1244;
0416000;"Powiat tucholski";-48;
0417000;"Powiat wąbrzeski";-93;
0418000;"Powiat włocławski";63;
0419000;"Powiat żniński";-67;
0461000;"Powiat m. Bydgoszcz";-1816;
0462000;"Powiat m. Grudziądz";-255;
0463000;"Powiat m. Toruń";-685;
0464000;"Powiat m. Włocławek";-561;
0601000;"Powiat bialski";-174;
0602000;"Powiat biłgorajski";-343;
0603000;"Powiat chełmski";-130;
0604000;"Powiat hrubieszowski";-444;
0605000;"Powiat janowski";-245;
0606000;"Powiat krasnostawski";-33;
0607000;"Powiat kraśnicki";-372;
0608000;"Powiat lubartowski";-141;
0609000;"Powiat lubelski";1328;
0610000;"Powiat łęczyński";-124;
0611000;"Powiat łukowski";-425;
0612000;"Powiat opolski";-204;
0613000;"Powiat parczewski";-158;
0614000;"Powiat puławski";-225;
0615000;"Powiat radzyński";-202;
0616000;"Powiat rycki";-289;
0617000;"Powiat świdnicki";-212;
0618000;"Powiat tomaszowski";-343;
0619000;"Powiat włodawski";-127;
0620000;"Powiat zamojski";-29;
0661000;"Powiat m. Biała Podlaska";-210;
0662000;"Powiat m. Chełm";-445;
0663000;"Powiat m. Lublin";-599;
0664000;"Powiat m. Zamość";-355;
0801000;"Powiat gorzowski";773;
0802000;"Powiat krośnieński";-131;
0803000;"Powiat międzyrzecki";-118;
0804000;"Powiat nowosolski";-54;
0805000;"Powiat słubicki";18;
0806000;"Powiat strzelecko-drezdenecki";-165;
0807000;"Powiat sulęciński";-39;
0808000;"Powiat świebodziński";-107;
0809000;"Powiat zielonogórski";186;
0810000;"Powiat żagański";-254;
0811000;"Powiat żarski";-282;
0812000;"Powiat wschowski";-84;
0861000;"Powiat m. Gorzów Wielkopolski";-652;
0862000;"Powiat m. Zielona Góra";138;
1001000;"Powiat bełchatowski";-275;
1002000;"Powiat kutnowski";-220;
1003000;"Powiat łaski";95;
1004000;"Powiat łęczycki";-88;
1005000;"Powiat łowicki";-98;
1006000;"Powiat łódzki wschodni";695;
1007000;"Powiat opoczyński";-307;
1008000;"Powiat pabianicki";418;
1009000;"Powiat pajęczański";-97;
1010000;"Powiat piotrkowski";357;
1011000;"Powiat poddębicki";90;
1012000;"Powiat radomszczański";-187;
1013000;"Powiat rawski";-113;
1014000;"Powiat sieradzki";-379;
1015000;"Powiat skierniewicki";77;
1016000;"Powiat tomaszowski";-182;
1017000;"Powiat wieluński";-139;
1018000;"Powiat wieruszowski";19;
1019000;"Powiat zduńskowolski";-97;
1020000;"Powiat zgierski";566;
1021000;"Powiat brzeziński";35;
1061000;"Powiat m. Łódź";-1100;
1062000;"Powiat m. Piotrków Trybunalski";-511;
1063000;"Powiat m. Skierniewice";-129;
1201000;"Powiat bocheński";113;
1202000;"Powiat brzeski";5;
1203000;"Powiat chrzanowski";-111;
1204000;"Powiat dąbrowski";-78;
1205000;"Powiat gorlicki";-233;
1206000;"Powiat krakowski";2647;
1207000;"Powiat limanowski";-70;
1208000;"Powiat miechowski";-1;
1209000;"Powiat myślenicki";114;
1210000;"Powiat nowosądecki";-146;
1211000;"Powiat nowotarski";-182;
1212000;"Powiat olkuski";-296;
1213000;"Powiat oświęcimski";-167;
1214000;"Powiat proszowicki";-49;
1215000;"Powiat suski";-33;
1216000;"Powiat tarnowski";-57;
1217000;"Powiat tatrzański";-81;
1218000;"Powiat wadowicki";34;
1219000;"Powiat wielicki";1594;
1261000;"Powiat m. Kraków";1886;
1262000;"Powiat m. Nowy Sącz";-296;
1263000;"Powiat m. Tarnów";-482;
1401000;"Powiat białobrzeski";-44;
1402000;"Powiat ciechanowski";-152;
1403000;"Powiat garwoliński";-215;
1404000;"Powiat gostyniński";-125;
1405000;"Powiat grodziski";1568;
1406000;"Powiat grójecki";74;
1407000;"Powiat kozienicki";-146;
1408000;"Powiat legionowski";1631;
1409000;"Powiat lipski";-63;
1410000;"Powiat łosicki";-144;
1411000;"Powiat makowski";-129;
1412000;"Powiat miński";491;
1413000;"Powiat mławski";-111;
1414000;"Powiat nowodworski";243;
1415000;"Powiat ostrołęcki";95;
1416000;"Powiat ostrowski";-230;
1417000;"Powiat otwocki";518;
1418000;"Powiat piaseczyński";2506;
1419000;"Powiat płocki";282;
1420000;"Powiat płoński";-89;
1421000;"Powiat pruszkowski";1011;
1422000;"Powiat przasnyski";-200;
1423000;"Powiat przysuski";-76;
1424000;"Powiat pułtuski";20;
1425000;"Powiat radomski";282;
1426000;"Powiat siedlecki";92;
1427000;"Powiat sierpecki";-130;
1428000;"Powiat sochaczewski";4;
1429000;"Powiat sokołowski";-151;
1430000;"Powiat szydłowiecki";-60;
1432000;"Powiat warszawski zachodni";1845;
1433000;"Powiat węgrowski";-80;
1434000;"Powiat wołomiński";2542;
1435000;"Powiat wyszkowski";-32;
1436000;"Powiat zwoleński";-48;
1437000;"Powiat żuromiński";-181;
1438000;"Powiat żyrardowski";124;
1461000;"Powiat m. Ostrołęka";-459;
1462000;"Powiat m. Płock";-447;
1463000;"Powiat m. Radom";-1165;
1464000;"Powiat m. Siedlce";-344;
1465000;"Powiat m. st. Warszawa";2767;
1601000;"Powiat brzeski";-107;
1602000;"Powiat głubczycki";-96;
1603000;"Powiat kędzierzyńsko-kozielski";-290;
1604000;"Powiat kluczborski";-182;
1605000;"Powiat krapkowicki";-62;
1606000;"Powiat namysłowski";-26;
1607000;"Powiat nyski";-351;
1608000;"Powiat oleski";-78;
1609000;"Powiat opolski";358;
1610000;"Powiat prudnicki";-225;
1611000;"Powiat strzelecki";-184;
1661000;"Powiat m. Opole";27;
1801000;"Powiat bieszczadzki";-106;
1802000;"Powiat brzozowski";-145;
1803000;"Powiat dębicki";-283;
1804000;"Powiat jarosławski";-301;
1805000;"Powiat jasielski";-301;
1806000;"Powiat kolbuszowski";-22;
1807000;"Powiat krośnieński";-145;
1808000;"Powiat leżajski";-279;
1809000;"Powiat lubaczowski";-232;
1810000;"Powiat łańcucki";117;
1811000;"Powiat mielecki";-189;
1812000;"Powiat niżański";-149;
1813000;"Powiat przemyski";-207;
1814000;"Powiat przeworski";-192;
1815000;"Powiat ropczycko-sędziszowski";-9;
1816000;"Powiat rzeszowski";1094;
1817000;"Powiat sanocki";-215;
1818000;"Powiat stalowowolski";-351;
1819000;"Powiat strzyżowski";-145;
1820000;"Powiat tarnobrzeski";-57;
1821000;"Powiat leski";-54;
1861000;"Powiat m. Krosno";-107;
1862000;"Powiat m. Przemyśl";-388;
1863000;"Powiat m. Rzeszów";769;
1864000;"Powiat m. Tarnobrzeg";-192;
2001000;"Powiat augustowski";-108;
2002000;"Powiat białostocki";1662;
2003000;"Powiat bielski";-152;
2004000;"Powiat grajewski";-261;
2005000;"Powiat hajnowski";-103;
2006000;"Powiat kolneński";-166;
2007000;"Powiat łomżyński";38;
2008000;"Powiat moniecki";-159;
2009000;"Powiat sejneński";-80;
2010000;"Powiat siemiatycki";-183;
2011000;"Powiat sokólski";-300;
2012000;"Powiat suwalski";-20;
2013000;"Powiat wysokomazowiecki";-239;
2014000;"Powiat zambrowski";-114;
2061000;"Powiat m. Białystok";-518;
2062000;"Powiat m. Łomża";-302;
2063000;"Powiat m. Suwałki";-138;
2201000;"Powiat bytowski";-198;
2202000;"Powiat chojnicki";-72;
2203000;"Powiat człuchowski";-124;
2204000;"Powiat gdański";1430;
2205000;"Powiat kartuski";1360;
2206000;"Powiat kościerski";30;
2207000;"Powiat kwidzyński";-132;
2208000;"Powiat lęborski";-92;
2209000;"Powiat malborski";-113;
2210000;"Powiat nowodworski";-36;
2211000;"Powiat pucki";604;
2212000;"Powiat słupski";257;
2213000;"Powiat starogardzki";20;
2214000;"Powiat tczewski";-166;
2215000;"Powiat wejherowski";1357;
2216000;"Powiat sztumski";-292;
2261000;"Powiat m. Gdańsk";864;
2262000;"Powiat m. Gdynia";-310;
2263000;"Powiat m. Słupsk";-276;
2264000;"Powiat m. Sopot";-188;
2401000;"Powiat będziński";235;
2402000;"Powiat bielski";492;
2403000;"Powiat cieszyński";142;
2404000;"Powiat częstochowski";255;
2405000;"Powiat gliwicki";308;
2406000;"Powiat kłobucki";-19;
2407000;"Powiat lubliniecki";-59;
2408000;"Powiat mikołowski";450;
2409000;"Powiat myszkowski";-102;
2410000;"Powiat pszczyński";34;
2411000;"Powiat raciborski";-253;
2412000;"Powiat rybnicki";218;
2413000;"Powiat tarnogórski";680;
2414000;"Powiat bieruńsko-lędziński";179;
2415000;"Powiat wodzisławski";-30;
2416000;"Powiat zawierciański";-80;
2417000;"Powiat żywiecki";193;
2461000;"Powiat m. Bielsko-Biała";-511;
2462000;"Powiat m. Bytom";-659;
2463000;"Powiat m. Chorzów";-470;
2464000;"Powiat m. Częstochowa";-731;
2465000;"Powiat m. Dąbrowa Górnicza";-202;
2466000;"Powiat m. Gliwice";-349;
2467000;"Powiat m. Jastrzębie-Zdrój";-382;
2468000;"Powiat m. Jaworzno";-68;
2469000;"Powiat m. Katowice";-488;
2470000;"Powiat m. Mysłowice";-136;
2471000;"Powiat m. Piekary Śląskie";-170;
2472000;"Powiat m. Ruda Śląska";-420;
2473000;"Powiat m. Rybnik";-508;
2474000;"Powiat m. Siemianowice Śląskie";-82;
2475000;"Powiat m. Sosnowiec";-649;
2476000;"Powiat m. Świętochłowice";-11;
2477000;"Powiat m. Tychy";-539;
2478000;"Powiat m. Zabrze";-619;
2479000;"Powiat m. Żory";107;
2601000;"Powiat buski";-50;
2602000;"Powiat jędrzejowski";-196;
2603000;"Powiat kazimierski";-32;
2604000;"Powiat kielecki";545;
2605000;"Powiat konecki";-200;
2606000;"Powiat opatowski";-148;
2607000;"Powiat ostrowiecki";-318;
2608000;"Powiat pińczowski";-87;
2609000;"Powiat sandomierski";-253;
2610000;"Powiat skarżyski";-281;
2611000;"Powiat starachowicki";-221;
2612000;"Powiat staszowski";-183;
2613000;"Powiat włoszczowski";-119;
2661000;"Powiat m. Kielce";-687;
2801000;"Powiat bartoszycki";-289;
2802000;"Powiat braniewski";-206;
2803000;"Powiat działdowski";-175;
2804000;"Powiat elbląski";-122;
2805000;"Powiat ełcki";104;
2806000;"Powiat giżycki";-80;
2807000;"Powiat iławski";-47;
2808000;"Powiat kętrzyński";-312;
2809000;"Powiat lidzbarski";-128;
2810000;"Powiat mrągowski";-143;
2811000;"Powiat nidzicki";-105;
2812000;"Powiat nowomiejski";-151;
2813000;"Powiat olecki";-101;
2814000;"Powiat olsztyński";951;
2815000;"Powiat ostródzki";-377;
2816000;"Powiat piski";-237;
2817000;"Powiat szczycieński";-88;
2818000;"Powiat gołdapski";-120;
2819000;"Powiat węgorzewski";-69;
2861000;"Powiat m. Elbląg";-140;
2862000;"Powiat m. Olsztyn";-423;
3001000;"Powiat chodzieski";-114;
3002000;"Powiat czarnkowsko-trzcianecki";-163;
3003000;"Powiat gnieźnieński";-56;
3004000;"Powiat gostyński";-285;
3005000;"Powiat grodziski";-16;
3006000;"Powiat jarociński";-15;
3007000;"Powiat kaliski";14;
3008000;"Powiat kępiński";-161;
3009000;"Powiat kolski";-272;
3010000;"Powiat koniński";229;
3011000;"Powiat kościański";-121;
3012000;"Powiat krotoszyński";-249;
3013000;"Powiat leszczyński";627;
3014000;"Powiat międzychodzki";-32;
3015000;"Powiat nowotomyski";33;
3016000;"Powiat obornicki";-2;
3017000;"Powiat ostrowski";16;
3018000;"Powiat ostrzeszowski";-1;
3019000;"Powiat pilski";-241;
3020000;"Powiat pleszewski";-41;
3021000;"Powiat poznański";5125;
3022000;"Powiat rawicki";-129;
3023000;"Powiat słupecki";-75;
3024000;"Powiat szamotulski";279;
3025000;"Powiat średzki";170;
3026000;"Powiat śremski";27;
3027000;"Powiat turecki";-97;
3028000;"Powiat wągrowiecki";20;
3029000;"Powiat wolsztyński";-51;
3030000;"Powiat wrzesiński";119;
3031000;"Powiat złotowski";-168;
3061000;"Powiat m. Kalisz";-387;
3062000;"Powiat m. Konin";-624;
3063000;"Powiat m. Leszno";-408;
3064000;"Powiat m. Poznań";-1550;
3201000;"Powiat białogardzki";-108;
3202000;"Powiat choszczeński";-175;
3203000;"Powiat drawski";-127;
3204000;"Powiat goleniowski";26;
3205000;"Powiat gryficki";-41;
3206000;"Powiat gryfiński";-236;
3207000;"Powiat kamieński";-68;
3208000;"Powiat kołobrzeski";147;
3209000;"Powiat koszaliński";309;
3210000;"Powiat myśliborski";-172;
3211000;"Powiat policki";1140;
3212000;"Powiat pyrzycki";-107;
3213000;"Powiat sławieński";-103;
3214000;"Powiat stargardzki";433;
3215000;"Powiat szczecinecki";-134;
3216000;"Powiat świdwiński";-148;
3217000;"Powiat wałecki";-181;
3218000;"Powiat łobeski";-116;
3261000;"Powiat m. Koszalin";-64;
3262000;"Powiat m. Szczecin";-646;
3263000;"Powiat m. Świnoujście";-138;
