"Kod";"Nazwa";"wskaźnik urbanizacji;2022;[%]";
0201000;"Powiat bolesławiecki";47,1;
0202000;"Powiat dzierżoniowski";78,2;
0203000;"Powiat głogowski";73,4;
0204000;"Powiat górowski";41,1;
0205000;"Powiat jaworski";53,6;
0206000;"Powiat karkonoski";42,5;
0207000;"Powiat kamiennogórski";56,4;
0208000;"Powiat kłodzki";63,3;
0209000;"Powiat legnicki";29,0;
0210000;"Powiat lubański";61,9;
0211000;"Powiat lubiński";71,3;
0212000;"Powiat lwówecki";49,7;
0213000;"Powiat milicki";30,3;
0214000;"Powiat oleśnicki";54,8;
0215000;"Powiat oławski";62,4;
0216000;"Powiat polkowicki";56,4;
0217000;"Powiat strzeliński";34,0;
0218000;"Powiat średzki";16,3;
0219000;"Powiat świdnicki";67,4;
0220000;"Powiat trzebnicki";35,6;
0221000;"Powiat wałbrzyski";64,1;
0222000;"Powiat wołowski";53,9;
0223000;"Powiat wrocławski";13,6;
0224000;"Powiat ząbkowicki";51,6;
0225000;"Powiat zgorzelecki";67,0;
0226000;"Powiat złotoryjski";48,5;
0261000;"Powiat m. Jelenia Góra";100,0;
0262000;"Powiat m. Legnica";100,0;
0264000;"Powiat m. Wrocław";100,0;
0265000;"Powiat m. Wałbrzych od 2013";100,0;
0401000;"Powiat aleksandrowski";43,8;
0402000;"Powiat brodnicki";42,9;
0403000;"Powiat bydgoski";20,8;
0404000;"Powiat chełmiński";37,0;
0405000;"Powiat golubsko-dobrzyński";35,6;
0406000;"Powiat grudziądzki";12,4;
0407000;"Powiat inowrocławski";64,1;
0408000;"Powiat lipnowski";30,0;
0409000;"Powiat mogileński";37,4;
0410000;"Powiat nakielski";42,1;
0411000;"Powiat radziejowski";24,5;
0412000;"Powiat rypiński";37,5;
0413000;"Powiat sępoleński";43,1;
0414000;"Powiat świecki";34,8;
0415000;"Powiat toruński";12,2;
0416000;"Powiat tucholski";27,9;
0417000;"Powiat wąbrzeski";39,8;
0418000;"Powiat włocławski";19,5;
0419000;"Powiat żniński";41,8;
0461000;"Powiat m. Bydgoszcz";100,0;
0462000;"Powiat m. Grudziądz";100,0;
0463000;"Powiat m. Toruń";100,0;
0464000;"Powiat m. Włocławek";100,0;
0601000;"Powiat bialski";19,6;
0602000;"Powiat biłgorajski";33,8;
0603000;"Powiat chełmski";9,9;
0604000;"Powiat hrubieszowski";28,1;
0605000;"Powiat janowski";28,8;
0606000;"Powiat krasnostawski";32,2;
0607000;"Powiat kraśnicki";39,7;
0608000;"Powiat lubartowski";31,4;
0609000;"Powiat lubelski";6,5;
0610000;"Powiat łęczyński";31,9;
0611000;"Powiat łukowski";29,4;
0612000;"Powiat opolski";30,5;
0613000;"Powiat parczewski";31,6;
0614000;"Powiat puławski";47,5;
0615000;"Powiat radzyński";26,0;
0616000;"Powiat rycki";45,0;
0617000;"Powiat świdnicki";56,7;
0618000;"Powiat tomaszowski";30,9;
0619000;"Powiat włodawski";34,3;
0620000;"Powiat zamojski";10,5;
0661000;"Powiat m. Biała Podlaska";100,0;
0662000;"Powiat m. Chełm";100,0;
0663000;"Powiat m. Lublin";100,0;
0664000;"Powiat m. Zamość";100,0;
0801000;"Powiat gorzowski";32,9;
0802000;"Powiat krośnieński";49,9;
0803000;"Powiat międzyrzecki";51,5;
0804000;"Powiat nowosolski";64,9;
0805000;"Powiat słubicki";63,9;
0806000;"Powiat strzelecko-drezdenecki";47,5;
0807000;"Powiat sulęciński";42,2;
0808000;"Powiat świebodziński";47,8;
0809000;"Powiat zielonogórski";42,6;
0810000;"Powiat żagański";59,6;
0811000;"Powiat żarski";59,3;
0812000;"Powiat wschowski";49,6;
0861000;"Powiat m. Gorzów Wielkopolski";100,0;
0862000;"Powiat m. Zielona Góra";100,0;
1001000;"Powiat bełchatowski";55,0;
1002000;"Powiat kutnowski";57,8;
1003000;"Powiat łaski";33,0;
1004000;"Powiat łęczycki";31,4;
1005000;"Powiat łowicki";35,2;
1006000;"Powiat łódzki wschodni";30,6;
1007000;"Powiat opoczyński";31,5;
1008000;"Powiat pabianicki";68,8;
1009000;"Powiat pajęczański";23,9;
1010000;"Powiat piotrkowski";9,1;
1011000;"Powiat poddębicki";24,7;
1012000;"Powiat radomszczański";45,8;
1013000;"Powiat rawski";41,2;
1014000;"Powiat sieradzki";42,3;
1015000;"Powiat skierniewicki";2,4;
1016000;"Powiat tomaszowski";52,1;
1017000;"Powiat wieluński";28,5;
1018000;"Powiat wieruszowski";25,5;
1019000;"Powiat zduńskowolski";63,7;
1020000;"Powiat zgierski";66,6;
1021000;"Powiat brzeziński";39,7;
1061000;"Powiat m. Łódź";100,0;
1062000;"Powiat m. Piotrków Trybunalski";100,0;
1063000;"Powiat m. Skierniewice";100,0;
1201000;"Powiat bocheński";29,4;
1202000;"Powiat brzeski";20,0;
1203000;"Powiat chrzanowski";60,5;
1204000;"Powiat dąbrowski";27,0;
1205000;"Powiat gorlicki";31,4;
1206000;"Powiat krakowski";14,8;
1207000;"Powiat limanowski";17,0;
1208000;"Powiat miechowski";23,5;
1209000;"Powiat myślenicki";23,6;
1210000;"Powiat nowosądecki";15,9;
1211000;"Powiat nowotarski";26,7;
1212000;"Powiat olkuski";47,2;
1213000;"Powiat oświęcimski";51,4;
1214000;"Powiat proszowicki";19,3;
1215000;"Powiat suski";24,0;
1216000;"Powiat tarnowski";11,6;
1217000;"Powiat tatrzański";38,1;
1218000;"Powiat wadowicki";25,6;
1219000;"Powiat wielicki";30,9;
1261000;"Powiat m. Kraków";100,0;
1262000;"Powiat m. Nowy Sącz";100,0;
1263000;"Powiat m. Tarnów";100,0;
1401000;"Powiat białobrzeski";22,5;
1402000;"Powiat ciechanowski";52,3;
1403000;"Powiat garwoliński";28,4;
1404000;"Powiat gostyniński";44,5;
1405000;"Powiat grodziski";52,4;
1406000;"Powiat grójecki";35,5;
1407000;"Powiat kozienicki";27,4;
1408000;"Powiat legionowski";44,5;
1409000;"Powiat lipski";18,8;
1410000;"Powiat łosicki";23,8;
1411000;"Powiat makowski";27,6;
1412000;"Powiat miński";46,4;
1413000;"Powiat mławski";44,3;
1414000;"Powiat nowodworski";49,0;
1415000;"Powiat ostrołęcki";3,7;
1416000;"Powiat ostrowski";33,9;
1417000;"Powiat otwocki";58,9;
1418000;"Powiat piaseczyński";40,1;
1419000;"Powiat płocki";8,4;
1420000;"Powiat płoński";35,6;
1421000;"Powiat pruszkowski";57,8;
1422000;"Powiat przasnyski";39,1;
1423000;"Powiat przysuski";13,8;
1424000;"Powiat pułtuski";38,0;
1425000;"Powiat radomski";19,2;
1426000;"Powiat siedlecki";2,0;
1427000;"Powiat sierpecki";35,0;
1428000;"Powiat sochaczewski";40,4;
1429000;"Powiat sokołowski";40,4;
1430000;"Powiat szydłowiecki";28,2;
1432000;"Powiat warszawski zachodni";34,1;
1433000;"Powiat węgrowski";29,6;
1434000;"Powiat wołomiński";71,0;
1435000;"Powiat wyszkowski";35,5;
1436000;"Powiat zwoleński";21,0;
1437000;"Powiat żuromiński";32,7;
1438000;"Powiat żyrardowski";61,5;
1461000;"Powiat m. Ostrołęka";100,0;
1462000;"Powiat m. Płock";100,0;
1463000;"Powiat m. Radom";100,0;
1464000;"Powiat m. Siedlce";100,0;
1465000;"Powiat m. st. Warszawa";100,0;
1601000;"Powiat brzeski";54,6;
1602000;"Powiat głubczycki";46,8;
1603000;"Powiat kędzierzyńsko-kozielski";63,4;
1604000;"Powiat kluczborski";50,3;
1605000;"Powiat krapkowicki";53,6;
1606000;"Powiat namysłowski";40,1;
1607000;"Powiat nyski";53,1;
1608000;"Powiat oleski";36,0;
1609000;"Powiat opolski";16,7;
1610000;"Powiat prudnicki";52,0;
1611000;"Powiat strzelecki";43,5;
1661000;"Powiat m. Opole";100,0;
1801000;"Powiat bieszczadzki";41,0;
1802000;"Powiat brzozowski";11,4;
1803000;"Powiat dębicki";38,3;
1804000;"Powiat jarosławski";38,0;
1805000;"Powiat jasielski";31,5;
1806000;"Powiat kolbuszowski";14,0;
1807000;"Powiat krośnieński";11,6;
1808000;"Powiat leżajski";27,4;
1809000;"Powiat lubaczowski";34,2;
1810000;"Powiat łańcucki";21,8;
1811000;"Powiat mielecki";46,9;
1812000;"Powiat niżański";35,0;
1813000;"Powiat przemyski";1,1;
1814000;"Powiat przeworski";25,7;
1815000;"Powiat ropczycko-sędziszowski";38,1;
1816000;"Powiat rzeszowski";19,2;
1817000;"Powiat sanocki";43,9;
1818000;"Powiat stalowowolski";57,7;
1819000;"Powiat strzyżowski";14,3;
1820000;"Powiat tarnobrzeski";23,1;
1821000;"Powiat leski";20,2;
1861000;"Powiat m. Krosno";100,0;
1862000;"Powiat m. Przemyśl";100,0;
1863000;"Powiat m. Rzeszów";100,0;
1864000;"Powiat m. Tarnobrzeg";100,0;
2001000;"Powiat augustowski";56,9;
2002000;"Powiat białostocki";34,8;
2003000;"Powiat bielski";53,9;
2004000;"Powiat grajewski";57,4;
2005000;"Powiat hajnowski";51,5;
2006000;"Powiat kolneński";33,3;
2007000;"Powiat łomżyński";7,6;
2008000;"Powiat moniecki";36,8;
2009000;"Powiat sejneński";26,3;
2010000;"Powiat siemiatycki";37,2;
2011000;"Powiat sokólski";42,8;
2013000;"Powiat wysokomazowiecki";33,3;
2014000;"Powiat zambrowski";50,6;
2061000;"Powiat m. Białystok";100,0;
2062000;"Powiat m. Łomża";100,0;
2063000;"Powiat m. Suwałki";100,0;
2201000;"Powiat bytowski";33,8;
2202000;"Powiat chojnicki";56,1;
2203000;"Powiat człuchowski";44,3;
2204000;"Powiat gdański";24,6;
2205000;"Powiat kartuski";13,6;
2206000;"Powiat kościerski";32,4;
2207000;"Powiat kwidzyński";56,2;
2208000;"Powiat lęborski";58,3;
2209000;"Powiat malborski";67,3;
2210000;"Powiat nowodworski";31,6;
2211000;"Powiat pucki";28,0;
2212000;"Powiat słupski";17,9;
2213000;"Powiat starogardzki";46,6;
2214000;"Powiat tczewski";63,4;
2215000;"Powiat wejherowski";56,1;
2216000;"Powiat sztumski";36,8;
2261000;"Powiat m. Gdańsk";100,0;
2262000;"Powiat m. Gdynia";100,0;
2263000;"Powiat m. Słupsk";100,0;
2264000;"Powiat m. Sopot";100,0;
2401000;"Powiat będziński";72,6;
2402000;"Powiat bielski";26,2;
2403000;"Powiat cieszyński";43,9;
2404000;"Powiat częstochowski";12,9;
2405000;"Powiat gliwicki";51,7;
2406000;"Powiat kłobucki";20,0;
2407000;"Powiat lubliniecki";36,7;
2408000;"Powiat mikołowski";84,8;
2409000;"Powiat myszkowski";53,6;
2410000;"Powiat pszczyński";22,8;
2411000;"Powiat raciborski";56,8;
2412000;"Powiat rybnicki";34,8;
2413000;"Powiat tarnogórski";66,6;
2414000;"Powiat bieruńsko-lędziński";75,3;
2415000;"Powiat wodzisławski";63,3;
2416000;"Powiat zawierciański";62,6;
2417000;"Powiat żywiecki";20,0;
2461000;"Powiat m. Bielsko-Biała";100,0;
2462000;"Powiat m. Bytom";100,0;
2463000;"Powiat m. Chorzów";100,0;
2464000;"Powiat m. Częstochowa";100,0;
2465000;"Powiat m. Dąbrowa Górnicza";100,0;
2466000;"Powiat m. Gliwice";100,0;
2467000;"Powiat m. Jastrzębie-Zdrój";100,0;
2468000;"Powiat m. Jaworzno";100,0;
2469000;"Powiat m. Katowice";100,0;
2470000;"Powiat m. Mysłowice";100,0;
2471000;"Powiat m. Piekary Śląskie";100,0;
2472000;"Powiat m. Ruda Śląska";100,0;
2473000;"Powiat m. Rybnik";100,0;
2474000;"Powiat m. Siemianowice Śląskie";100,0;
2475000;"Powiat m. Sosnowiec";100,0;
2476000;"Powiat m. Świętochłowice";100,0;
2477000;"Powiat m. Tychy";100,0;
2478000;"Powiat m. Zabrze";100,0;
2479000;"Powiat m. Żory";100,0;
2601000;"Powiat buski";26,5;
2602000;"Powiat jędrzejowski";30,4;
2603000;"Powiat kazimierski";20,5;
2604000;"Powiat kielecki";8,8;
2605000;"Powiat konecki";34,4;
2606000;"Powiat opatowski";23,4;
2607000;"Powiat ostrowiecki";67,7;
2608000;"Powiat pińczowski";28,9;
2609000;"Powiat sandomierski";37,6;
2610000;"Powiat skarżyski";71,5;
2611000;"Powiat starachowicki";56,2;
2612000;"Powiat staszowski";37,6;
2613000;"Powiat włoszczowski";22,2;
2661000;"Powiat m. Kielce";100,0;
2801000;"Powiat bartoszycki";55,3;
2802000;"Powiat braniewski";54,9;
2803000;"Powiat działdowski";44,7;
2804000;"Powiat elbląski";29,3;
2805000;"Powiat ełcki";67,8;
2806000;"Powiat giżycki";56,1;
2807000;"Powiat iławski";57,9;
2808000;"Powiat kętrzyński";58,1;
2809000;"Powiat lidzbarski";59,0;
2810000;"Powiat mrągowski";50,6;
2811000;"Powiat nidzicki";41,6;
2812000;"Powiat nowomiejski";24,2;
2813000;"Powiat olecki";49,0;
2814000;"Powiat olsztyński";28,6;
2815000;"Powiat ostródzki";49,4;
2816000;"Powiat piski";59,0;
2817000;"Powiat szczycieński";41,0;
2818000;"Powiat gołdapski";52,8;
2819000;"Powiat węgorzewski";50,7;
2861000;"Powiat m. Elbląg";100,0;
2862000;"Powiat m. Olsztyn";100,0;
3001000;"Powiat chodzieski";64,1;
3002000;"Powiat czarnkowsko-trzcianecki";45,6;
3003000;"Powiat gnieźnieński";59,4;
3004000;"Powiat gostyński";43,1;
3005000;"Powiat grodziski";39,6;
3006000;"Powiat jarociński";42,6;
3007000;"Powiat kaliski";8,2;
3008000;"Powiat kępiński";24,4;
3009000;"Powiat kolski";35,1;
3010000;"Powiat koniński";13,2;
3011000;"Powiat kościański";46,4;
3012000;"Powiat krotoszyński";59,4;
3013000;"Powiat leszczyński";9,0;
3014000;"Powiat międzychodzki";44,5;
3015000;"Powiat nowotomyski";44,0;
3016000;"Powiat obornicki";47,9;
3017000;"Powiat ostrowski";51,3;
3018000;"Powiat ostrzeszowski";31,8;
3019000;"Powiat pilski";66,5;
3020000;"Powiat pleszewski";34,5;
3021000;"Powiat poznański";30,5;
3022000;"Powiat rawicki";47,1;
3023000;"Powiat słupecki";27,6;
3024000;"Powiat szamotulski";45,1;
3025000;"Powiat średzki";40,7;
3026000;"Powiat śremski";53,0;
3027000;"Powiat turecki";35,9;
3028000;"Powiat wągrowiecki";48,4;
3029000;"Powiat wolsztyński";21,3;
3030000;"Powiat wrzesiński";53,9;
3031000;"Powiat złotowski";50,0;
3061000;"Powiat m. Kalisz";100,0;
3062000;"Powiat m. Konin";100,0;
3063000;"Powiat m. Leszno";100,0;
3064000;"Powiat m. Poznań";100,0;
3201000;"Powiat białogardzki";68,2;
3202000;"Powiat choszczeński";47,6;
3203000;"Powiat drawski";63,5;
3204000;"Powiat goleniowski";53,2;
3205000;"Powiat gryficki";50,4;
3206000;"Powiat gryfiński";46,1;
3207000;"Powiat kamieński";51,5;
3208000;"Powiat kołobrzeski";60,2;
3209000;"Powiat koszaliński";24,0;
3210000;"Powiat myśliborski";58,4;
3211000;"Powiat policki";36,6;
3212000;"Powiat pyrzycki";42,8;
3213000;"Powiat sławieński";46,1;
3214000;"Powiat stargardzki";63,2;
3215000;"Powiat szczecinecki";66,0;
3216000;"Powiat świdwiński";50,4;
3217000;"Powiat wałecki";61,0;
3218000;"Powiat łobeski";53,8;
3261000;"Powiat m. Koszalin";100,0;
3262000;"Powiat m. Szczecin";100,0;
3263000;"Powiat m. Świnoujście";100,0;
