"Kod";"Nazwa";"ogółem;2022;[-]";
0201000;"Powiat bolesławiecki";7,2;
0202000;"Powiat dzierżoniowski";5,5;
0203000;"Powiat głogowski";5,9;
0204000;"Powiat górowski";4,6;
0205000;"Powiat jaworski";5,2;
0206000;"Powiat karkonoski";5,3;
0207000;"Powiat kamiennogórski";5,3;
0208000;"Powiat kłodzki";5,2;
0209000;"Powiat legnicki";4,1;
0210000;"Powiat lubański";5,5;
0211000;"Powiat lubiński";6,3;
0212000;"Powiat lwówecki";4,9;
0213000;"Powiat milicki";6,0;
0214000;"Powiat oleśnicki";5,7;
0215000;"Powiat oławski";6,7;
0216000;"Powiat polkowicki";6,5;
0217000;"Powiat strzeliński";5,4;
0218000;"Powiat średzki";5,4;
0219000;"Powiat świdnicki";6,8;
0220000;"Powiat trzebnicki";5,8;
0221000;"Powiat wałbrzyski";3,9;
0222000;"Powiat wołowski";5,9;
0223000;"Powiat wrocławski";5,9;
0224000;"Powiat ząbkowicki";5,5;
0225000;"Powiat zgorzelecki";5,5;
0226000;"Powiat złotoryjski";4,8;
0261000;"Powiat m. Jelenia Góra";8,0;
0262000;"Powiat m. Legnica";9,8;
0264000;"Powiat m. Wrocław";10,0;
0265000;"Powiat m. Wałbrzych od 2013";7,1;
0401000;"Powiat aleksandrowski";5,9;
0402000;"Powiat brodnicki";5,7;
0403000;"Powiat bydgoski";6,0;
0404000;"Powiat chełmiński";5,4;
0405000;"Powiat golubsko-dobrzyński";5,7;
0406000;"Powiat grudziądzki";3,8;
0407000;"Powiat inowrocławski";6,4;
0408000;"Powiat lipnowski";4,5;
0409000;"Powiat mogileński";5,8;
0410000;"Powiat nakielski";5,1;
0411000;"Powiat radziejowski";3,7;
0412000;"Powiat rypiński";5,7;
0413000;"Powiat sępoleński";5,4;
0414000;"Powiat świecki";5,8;
0415000;"Powiat toruński";4,5;
0416000;"Powiat tucholski";4,8;
0417000;"Powiat wąbrzeski";4,4;
0418000;"Powiat włocławski";4,0;
0419000;"Powiat żniński";4,8;
0461000;"Powiat m. Bydgoszcz";9,6;
0462000;"Powiat m. Grudziądz";7,9;
0463000;"Powiat m. Toruń";9,5;
0464000;"Powiat m. Włocławek";9,5;
0601000;"Powiat bialski";3,4;
0602000;"Powiat biłgorajski";3,8;
0603000;"Powiat chełmski";2,2;
0604000;"Powiat hrubieszowski";3,8;
0605000;"Powiat janowski";4,0;
0606000;"Powiat krasnostawski";3,8;
0607000;"Powiat kraśnicki";4,3;
0608000;"Powiat lubartowski";3,8;
0609000;"Powiat lubelski";3,0;
0610000;"Powiat łęczyński";4,1;
0611000;"Powiat łukowski";4,6;
0612000;"Powiat opolski";3,1;
0613000;"Powiat parczewski";4,5;
0614000;"Powiat puławski";5,9;
0615000;"Powiat radzyński";4,1;
0616000;"Powiat rycki";5,0;
0617000;"Powiat świdnicki";4,4;
0618000;"Powiat tomaszowski";4,4;
0619000;"Powiat włodawski";4,6;
0620000;"Powiat zamojski";2,9;
0661000;"Powiat m. Biała Podlaska";7,0;
0662000;"Powiat m. Chełm";7,2;
0663000;"Powiat m. Lublin";9,0;
0664000;"Powiat m. Zamość";8,8;
0801000;"Powiat gorzowski";5,5;
0802000;"Powiat krośnieński";5,4;
0803000;"Powiat międzyrzecki";6,1;
0804000;"Powiat nowosolski";5,0;
0805000;"Powiat słubicki";6,3;
0806000;"Powiat strzelecko-drezdenecki";5,7;
0807000;"Powiat sulęciński";6,2;
