"Kod";"Nazwa";"ogółem;2022;[zł]";
0201000;"Powiat bolesławiecki";6181,60;
0202000;"Powiat dzierżoniowski";5723,65;
0203000;"Powiat głogowski";5856,76;
0204000;"Powiat górowski";5423,11;
0205000;"Powiat jaworski";6142,84;
0206000;"Powiat karkonoski";5627,61;
0207000;"Powiat kamiennogórski";5550,65;
0208000;"Powiat kłodzki";5670,31;
0209000;"Powiat legnicki";6116,35;
0210000;"Powiat lubański";5516,56;
0211000;"Powiat lubiński";11361,51;
0212000;"Powiat lwówecki";5580,03;
0213000;"Powiat milicki";5313,76;
0214000;"Powiat oleśnicki";5762,83;
0215000;"Powiat oławski";6030,47;
0216000;"Powiat polkowicki";6861,21;
0217000;"Powiat strzeliński";6320,71;
0218000;"Powiat średzki";6315,50;
0219000;"Powiat świdnicki";6059,31;
0220000;"Powiat trzebnicki";5852,88;
0221000;"Powiat wałbrzyski";5431,27;
0222000;"Powiat wołowski";7909,26;
0223000;"Powiat wrocławski";7161,33;
0224000;"Powiat ząbkowicki";5615,48;
0225000;"Powiat zgorzelecki";5980,91;
0226000;"Powiat złotoryjski";6235,18;
0261000;"Powiat m. Jelenia Góra";6282,14;
0262000;"Powiat m. Legnica";6068,54;
0264000;"Powiat m. Wrocław";7391,95;
0265000;"Powiat m. Wałbrzych od 2013";6731,24;
0401000;"Powiat aleksandrowski";5256,91;
0402000;"Powiat brodnicki";5179,20;
0403000;"Powiat bydgoski";5793,56;
0404000;"Powiat chełmiński";5339,74;
0405000;"Powiat golubsko-dobrzyński";6015,41;
0406000;"Powiat grudziądzki";5523,49;
0407000;"Powiat inowrocławski";5655,28;
0408000;"Powiat lipnowski";4910,26;
0409000;"Powiat mogileński";5482,81;
0410000;"Powiat nakielski";5907,85;
0411000;"Powiat radziejowski";5248,74;
0412000;"Powiat rypiński";5140,39;
0413000;"Powiat sępoleński";5229,53;
0414000;"Powiat świecki";5795,79;
0415000;"Powiat toruński";5441,72;
0416000;"Powiat tucholski";5164,79;
0417000;"Powiat wąbrzeski";5653,97;
0418000;"Powiat włocławski";5289,63;
0419000;"Powiat żniński";5169,82;
0461000;"Powiat m. Bydgoszcz";6435,59;
0462000;"Powiat m. Grudziądz";5299,09;
