"Kod";"Nazwa";"ludność na 1 km2;2022;[osoba]";
0201000;"Powiat bolesławiecki";67,5;
0202000;"Powiat dzierżoniowski";200,3;
0203000;"Powiat głogowski";193,3;
0204000;"Powiat górowski";44,3;
0205000;"Powiat jaworski";81,9;
0206000;"Powiat karkonoski";97,3;
0207000;"Powiat kamiennogórski";103,1;
0208000;"Powiat kłodzki";90,5;
0209000;"Powiat legnicki";74,0;
0210000;"Powiat lubański";121,1;
0211000;"Powiat lubiński";145,3;
0212000;"Powiat lwówecki";60,8;
0213000;"Powiat milicki";50,1;
0214000;"Powiat oleśnicki";101,5;
0215000;"Powiat oławski";147,5;
0216000;"Powiat polkowicki";78,6;
0217000;"Powiat strzeliński";67,5;
0218000;"Powiat średzki";83,1;
0219000;"Powiat świdnicki";204,0;
0220000;"Powiat trzebnicki";85,2;
0221000;"Powiat wałbrzyski";123,5;
0222000;"Powiat wołowski";67,8;
0223000;"Powiat wrocławski";163,5;
0224000;"Powiat ząbkowicki";76,2;
0225000;"Powiat zgorzelecki";102,4;
0226000;"Powiat złotoryjski";71,1;
0261000;"Powiat m. Jelenia Góra";693,4;
0262000;"Powiat m. Legnica";1652,9;
0264000;"Powiat m. Wrocław";2302,1;
0265000;"Powiat m. Wałbrzych od 2013";1202,8;
0401000;"Powiat aleksandrowski";113,2;
0402000;"Powiat brodnicki";75,1;
0403000;"Powiat bydgoski";90,0;
0404000;"Powiat chełmiński";94,0;
0405000;"Powiat golubsko-dobrzyński";71,1;
0406000;"Powiat grudziądzki";53,7;
0407000;"Powiat inowrocławski";124,0;
0408000;"Powiat lipnowski";62,0;
0409000;"Powiat mogileński";65,0;
0410000;"Powiat nakielski";74,2;
0411000;"Powiat radziejowski";62,9;
0412000;"Powiat rypiński";70,6;
0413000;"Powiat sępoleński";49,6;
0414000;"Powiat świecki";64,7;
0415000;"Powiat toruński";92,3;
0416000;"Powiat tucholski";43,8;
0417000;"Powiat wąbrzeski";65,4;
0418000;"Powiat włocławski";56,1;
0419000;"Powiat żniński";69,0;
0461000;"Powiat m. Bydgoszcz";1875,6;
0462000;"Powiat m. Grudziądz";1548,6;
0463000;"Powiat m. Toruń";1691,1;
0464000;"Powiat m. Włocławek";1199,9;
0601000;"Powiat bialski";38,3;
0602000;"Powiat biłgorajski";57,7;
0603000;"Powiat chełmski";39,4;
0604000;"Powiat hrubieszowski";45,3;
0605000;"Powiat janowski";49,3;
0606000;"Powiat krasnostawski";57,9;
0607000;"Powiat kraśnicki";89,6;
0608000;"Powiat lubartowski";65,6;
0609000;"Powiat lubelski";97,2;
0610000;"Powiat łęczyński";87,8;
0611000;"Powiat łukowski";72,8;
0612000;"Powiat opolski";69,3;
0613000;"Powiat parczewski";34,2;
0614000;"Powiat puławski";115,6;
0615000;"Powiat radzyński";57,5;
0616000;"Powiat rycki";84,7;
