"Kod";"Nazwa";"ludność w tysiącach;2022;[tys. osób]";
0201000;"Powiat bolesławiecki";87,92;
0202000;"Powiat dzierżoniowski";95,86;
0203000;"Powiat głogowski";85,69;
0204000;"Powiat górowski";32,74;
0205000;"Powiat jaworski";47,58;
0206000;"Powiat karkonoski";61,02;
0207000;"Powiat kamiennogórski";40,79;
0208000;"Powiat kłodzki";148,68;
0209000;"Powiat legnicki";55,03;
0210000;"Powiat lubański";51,89;
0211000;"Powiat lubiński";103,43;
0212000;"Powiat lwówecki";43,16;
0213000;"Powiat milicki";35,83;
0214000;"Powiat oleśnicki";106,48;
0215000;"Powiat oławski";77,30;
0216000;"Powiat polkowicki";61,31;
0217000;"Powiat strzeliński";41,99;
0218000;"Powiat średzki";58,51;
0219000;"Powiat świdnicki";151,25;
0220000;"Powiat trzebnicki";87,29;
0221000;"Powiat wałbrzyski";53,12;
0222000;"Powiat wołowski";45,73;
0223000;"Powiat wrocławski";182,78;
0224000;"Powiat ząbkowicki";61,09;
0225000;"Powiat zgorzelecki";85,90;
0226000;"Powiat złotoryjski";40,93;
0261000;"Powiat m. Jelenia Góra";75,79;
0262000;"Powiat m. Legnica";93,04;
0264000;"Powiat m. Wrocław";674,08;
0265000;"Powiat m. Wałbrzych od 2013";101,86;
0401000;"Powiat aleksandrowski";53,74;
0402000;"Powiat brodnicki";78,06;
0403000;"Powiat bydgoski";125,44;
0404000;"Powiat chełmiński";49,56;
0405000;"Powiat golubsko-dobrzyński";43,55;
0406000;"Powiat grudziądzki";39,16;
0407000;"Powiat inowrocławski";151,93;
0408000;"Powiat lipnowski";63,05;
0409000;"Powiat mogileński";43,85;
0410000;"Powiat nakielski";83,15;
0411000;"Powiat radziejowski";38,17;
0412000;"Powiat rypiński";41,40;
0413000;"Powiat sępoleński";39,22;
0414000;"Powiat świecki";95,36;
0415000;"Powiat toruński";113,57;
0416000;"Powiat tucholski";47,11;
0417000;"Powiat wąbrzeski";32,76;
0418000;"Powiat włocławski";82,60;
0419000;"Powiat żniński";67,94;
0461000;"Powiat m. Bydgoszcz";330,04;
0462000;"Powiat m. Grudziądz";89,45;
0463000;"Powiat m. Toruń";195,69;
0464000;"Powiat m. Włocławek";102,10;
0601000;"Powiat bialski";105,53;
0602000;"Powiat biłgorajski";97,06;
0603000;"Powiat chełmski";74,36;
0604000;"Powiat hrubieszowski";57,59;
0605000;"Powiat janowski";43,19;
0606000;"Powiat krasnostawski";59,75;
0607000;"Powiat kraśnicki";90,09;
0608000;"Powiat lubartowski";84,58;
0609000;"Powiat lubelski";163,21;
0610000;"Powiat łęczyński";55,93;
0611000;"Powiat łukowski";101,54;
0612000;"Powiat opolski";56,16;
0613000;"Powiat parczewski";32,61;
0614000;"Powiat puławski";107,91;
0615000;"Powiat radzyński";55,49;
0616000;"Powiat rycki";52,02;
0617000;"Powiat świdnicki";69,59;
0618000;"Powiat tomaszowski";77,96;
