"Kod";"Nazwa";"budynki mieszkalne ogółem (PKOB 11);2022;[-]";
0201000;"Powiat bolesławiecki";2,8;
0202000;"Powiat dzierżoniowski";1,9;
0203000;"Powiat głogowski";2,9;
0204000;"Powiat górowski";1,6;
0205000;"Powiat jaworski";2,2;
0206000;"Powiat karkonoski";5,0;
0207000;"Powiat kamiennogórski";3,0;
0208000;"Powiat kłodzki";2,6;
0209000;"Powiat legnicki";5,0;
0210000;"Powiat lubański";2,8;
0211000;"Powiat lubiński";4,2;
0212000;"Powiat lwówecki";2,2;
0213000;"Powiat milicki";2,8;
0214000;"Powiat oleśnicki";6,5;
0215000;"Powiat oławski";3,3;
0216000;"Powiat polkowicki";2,8;
0217000;"Powiat strzeliński";3,1;
0218000;"Powiat średzki";5,6;
0219000;"Powiat świdnicki";2,6;
0220000;"Powiat trzebnicki";6,9;
0221000;"Powiat wałbrzyski";3,1;
0222000;"Powiat wołowski";3,0;
0223000;"Powiat wrocławski";6,9;
0224000;"Powiat ząbkowicki";2,2;
0225000;"Powiat zgorzelecki";2,1;
0226000;"Powiat złotoryjski";1,8;
0261000;"Powiat m. Jelenia Góra";1,1;
0262000;"Powiat m. Legnica";0,4;
0264000;"Powiat m. Wrocław";0,5;
0265000;"Powiat m. Wałbrzych od 2013";0,2;
0401000;"Powiat aleksandrowski";3,0;
0402000;"Powiat brodnicki";2,6;
0403000;"Powiat bydgoski";7,6;
0404000;"Powiat chełmiński";2,3;
0405000;"Powiat golubsko-dobrzyński";2,1;
0406000;"Powiat grudziądzki";5,1;
0407000;"Powiat inowrocławski";2,2;
0408000;"Powiat lipnowski";2,7;
0409000;"Powiat mogileński";2,7;
0410000;"Powiat nakielski";3,0;
0411000;"Powiat radziejowski";2,1;
0412000;"Powiat rypiński";3,0;
0413000;"Powiat sępoleński";2,6;
0414000;"Powiat świecki";2,6;
0415000;"Powiat toruński";5,9;
0416000;"Powiat tucholski";4,3;
0417000;"Powiat wąbrzeski";1,4;
0418000;"Powiat włocławski";4,2;
0419000;"Powiat żniński";3,5;
0461000;"Powiat m. Bydgoszcz";0,4;
0462000;"Powiat m. Grudziądz";0,7;
0463000;"Powiat m. Toruń";0,3;
0464000;"Powiat m. Włocławek";0,5;
0601000;"Powiat bialski";2,9;
0602000;"Powiat biłgorajski";1,9;
0603000;"Powiat chełmski";3,1;
0604000;"Powiat hrubieszowski";0,8;
0605000;"Powiat janowski";1,8;
0606000;"Powiat krasnostawski";1,7;
0607000;"Powiat kraśnicki";1,8;
0608000;"Powiat lubartowski";2,9;
0609000;"Powiat lubelski";6,4;
0610000;"Powiat łęczyński";3,0;
0611000;"Powiat łukowski";2,8;
0612000;"Powiat opolski";1,9;
0613000;"Powiat parczewski";1,3;
0614000;"Powiat puławski";2,2;
0615000;"Powiat radzyński";1,4;
0616000;"Powiat rycki";1,9;
0617000;"Powiat świdnicki";2,8;
0618000;"Powiat tomaszowski";1,7;
0619000;"Powiat włodawski";2,9;
0620000;"Powiat zamojski";2,9;
0661000;"Powiat m. Biała Podlaska";0,7;
0662000;"Powiat m. Chełm";1,5;
0663000;"Powiat m. Lublin";0,8;
0664000;"Powiat m. Zamość";0,8;
0801000;"Powiat gorzowski";5,8;
0802000;"Powiat krośnieński";1,9;
0803000;"Powiat międzyrzecki";2,7;
0804000;"Powiat nowosolski";2,7;
0805000;"Powiat słubicki";3,6;
0806000;"Powiat strzelecko-drezdenecki";1,8;
0807000;"Powiat sulęciński";2,8;
0808000;"Powiat świebodziński";3,1;
0809000;"Powiat zielonogórski";3,9;
0810000;"Powiat żagański";1,7;
0811000;"Powiat żarski";1,9;
0812000;"Powiat wschowski";2,8;
0861000;"Powiat m. Gorzów Wielkopolski";1,0;
0862000;"Powiat m. Zielona Góra";1,2;
1001000;"Powiat bełchatowski";3,2;
1002000;"Powiat kutnowski";1,3;
1003000;"Powiat łaski";4,3;
1004000;"Powiat łęczycki";1,9;
1005000;"Powiat łowicki";1,5;
1006000;"Powiat łódzki wschodni";6,1;
1007000;"Powiat opoczyński";3,2;
1008000;"Powiat pabianicki";4,7;
1009000;"Powiat pajęczański";2,1;
1010000;"Powiat piotrkowski";3,5;
1011000;"Powiat poddębicki";3,3;
1012000;"Powiat radomszczański";2,3;
1013000;"Powiat rawski";2,3;
