"Kod";"Nazwa";"ogółem;2022;[%]";
0201000;"Powiat bolesławiecki";3,1;
0202000;"Powiat dzierżoniowski";5,2;
0203000;"Powiat głogowski";6,4;
0204000;"Powiat górowski";13,8;
0205000;"Powiat jaworski";10,2;
0206000;"Powiat karkonoski";8,5;
0207000;"Powiat kamiennogórski";6,1;
0208000;"Powiat kłodzki";11,8;
0209000;"Powiat legnicki";8,1;
0210000;"Powiat lubański";7,1;
0211000;"Powiat lubiński";3,9;
0212000;"Powiat lwówecki";8,7;
0213000;"Powiat milicki";6,3;
0214000;"Powiat oleśnicki";6,0;
0215000;"Powiat oławski";4,2;
0216000;"Powiat polkowicki";4,4;
0217000;"Powiat strzeliński";10,4;
0218000;"Powiat średzki";4,7;
0219000;"Powiat świdnicki";5,6;
0220000;"Powiat trzebnicki";4,8;
0221000;"Powiat wałbrzyski";11,7;
0222000;"Powiat wołowski";11,2;
0223000;"Powiat wrocławski";1,4;
0224000;"Powiat ząbkowicki";9,5;
0225000;"Powiat zgorzelecki";5,1;
0226000;"Powiat złotoryjski";13,7;
0261000;"Powiat m. Jelenia Góra";3,6;
0262000;"Powiat m. Legnica";5,1;
0264000;"Powiat m. Wrocław";1,6;
0265000;"Powiat m. Wałbrzych od 2013";4,2;
0401000;"Powiat aleksandrowski";11,3;
0402000;"Powiat brodnicki";6,9;
0403000;"Powiat bydgoski";3,3;
0404000;"Powiat chełmiński";12,3;
0405000;"Powiat golubsko-dobrzyński";10,6;
0406000;"Powiat grudziądzki";11,3;
0407000;"Powiat inowrocławski";10,3;
0408000;"Powiat lipnowski";12,7;
0409000;"Powiat mogileński";9,6;
0410000;"Powiat nakielski";10,4;
0411000;"Powiat radziejowski";15,3;
0412000;"Powiat rypiński";8,9;
0413000;"Powiat sępoleński";10,7;
0414000;"Powiat świecki";6,2;
0415000;"Powiat toruński";8,4;
0416000;"Powiat tucholski";10,3;
0417000;"Powiat wąbrzeski";12,7;
0418000;"Powiat włocławski";13,4;
0419000;"Powiat żniński";8,9;
0461000;"Powiat m. Bydgoszcz";2,3;
0462000;"Powiat m. Grudziądz";10,0;
0463000;"Powiat m. Toruń";3,6;
0464000;"Powiat m. Włocławek";8,4;
0601000;"Powiat bialski";9,6;
0602000;"Powiat biłgorajski";5,9;
0603000;"Powiat chełmski";13,8;
0604000;"Powiat hrubieszowski";15,1;
0605000;"Powiat janowski";12,3;
0606000;"Powiat krasnostawski";14,3;
0607000;"Powiat kraśnicki";11,2;
