"Kod";"Nazwa";"ogółem;ogółem;2022;[zł]";
0201000;"Powiat bolesławiecki";5283;
0202000;"Powiat dzierżoniowski";2934;
0203000;"Powiat głogowski";4592;
0204000;"Powiat górowski";2373;
0205000;"Powiat jaworski";4220;
0206000;"Powiat karkonoski";10928;
0207000;"Powiat kamiennogórski";2806;
0208000;"Powiat kłodzki";4094;
0209000;"Powiat legnicki";4082;
0210000;"Powiat lubański";4728;
0211000;"Powiat lubiński";5245;
0212000;"Powiat lwówecki";2146;
0213000;"Powiat milicki";5323;
0214000;"Powiat oleśnicki";5596;
0215000;"Powiat oławski";6196;
0216000;"Powiat polkowicki";3826;
0217000;"Powiat strzeliński";4942;
0218000;"Powiat średzki";5423;
0219000;"Powiat świdnicki";4828;
0220000;"Powiat trzebnicki";5973;
0221000;"Powiat wałbrzyski";2614;
0222000;"Powiat wołowski";4503;
0223000;"Powiat wrocławski";6257;
0224000;"Powiat ząbkowicki";3230;
0225000;"Powiat zgorzelecki";4461;
0226000;"Powiat złotoryjski";3752;
0261000;"Powiat m. Jelenia Góra";5276;
0262000;"Powiat m. Legnica";5067;
0264000;"Powiat m. Wrocław";8907;
0265000;"Powiat m. Wałbrzych od 2013";3931;
0401000;"Powiat aleksandrowski";4986;
0402000;"Powiat brodnicki";5178;
0403000;"Powiat bydgoski";5324;
0404000;"Powiat chełmiński";3739;
0405000;"Powiat golubsko-dobrzyński";3938;
0406000;"Powiat grudziądzki";2516;
0407000;"Powiat inowrocławski";4632;
0408000;"Powiat lipnowski";4023;
0409000;"Powiat mogileński";3693;
0410000;"Powiat nakielski";4652;
0411000;"Powiat radziejowski";3110;
0412000;"Powiat rypiński";3939;
0413000;"Powiat sępoleński";3478;
0414000;"Powiat świecki";4632;
0415000;"Powiat toruński";4187;
0416000;"Powiat tucholski";3667;
0417000;"Powiat wąbrzeski";3614;
0418000;"Powiat włocławski";4678;
0419000;"Powiat żniński";3959;
0461000;"Powiat m. Bydgoszcz";6821;
0462000;"Powiat m. Grudziądz";4349;
0463000;"Powiat m. Toruń";7281;
0464000;"Powiat m. Włocławek";5434;
0601000;"Powiat bialski";4132;
0602000;"Powiat biłgorajski";4674;
0603000;"Powiat chełmski";2960;
0604000;"Powiat hrubieszowski";3526;
0605000;"Powiat janowski";5600;
0606000;"Powiat krasnostawski";4430;
0607000;"Powiat kraśnicki";4416;
0608000;"Powiat lubartowski";5799;
0609000;"Powiat lubelski";5436;
0610000;"Powiat łęczyński";5357;
0611000;"Powiat łukowski";5225;
0612000;"Powiat opolski";4745;
0613000;"Powiat parczewski";3944;
0614000;"Powiat puławski";6383;
0615000;"Powiat radzyński";4217;
0616000;"Powiat rycki";4981;
0617000;"Powiat świdnicki";6549;
0618000;"Powiat tomaszowski";4708;
